what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1368386875224
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1368386875325
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1368386875464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368386881863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1368386881929
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1368386887825
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368386893817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368386901145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368386940216
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1368386943055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368386943998
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.300.v20110427,"org.eclipse.jst.server.tomcat.core",1368386950330
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1368386950386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368387011840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1368387011895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368387021202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368387046567
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1368387046597
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1368387049684
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368387056895
opened,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1368387061665
